Fish_ID,Aquarium,Acclimation,MMR_Hypoxic_mg/h/g,MMR_Normoxic__mg/h/g,SMR_Hypoxic__mg/h/g,SMR_Normoxic__mg/h/g,sex,Weight_start,Weight_end,Length_start,Length_end,SGR,Weight_resp,MMR_Hypoxic_scaled,MMR_Normoxic_scaled,SMR_Hypoxic_scaled,SMR_Normoxic_scaled,AS_H,AS_N,Harvested,Metric,Hypoxia,Normoxia,Recovery,NormoxiaDrop1,NormoxiaDrop2,NormoxiaDrop3,HypoxiaDrop4,HypoxiaDrop5,HypoxiaDrop6,RecoveryDrop7,RecoveryDrop8,RecoveryDrop9,ControlNormoxiaDrop1,ControlNormoxiaDrop2,ControlNormoxiaDrop3,ControlNormoxiaDrop4,ControlNormoxiaDrop5,ControlNormoxiaDrop6,ControlNormoxiaDrop7,ControlNormoxiaDrop8,ControlNormoxiaDrop9,ControlHypoxiaDrop1,ControlHypoxiaDrop2,ControlHypoxiaDrop3
12fg,12,Hypoxia acclimated,0.554,1.049,0.146,0.212,F,0.11,0.44,17.5,24.5,2.39,0.37,0.169,0.32,0.046,0.067,0.123,0.253,Small,Distance,48.4728040333333,589.704268466667,314.7293775,900,820,1100,1000,660,900,1060,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12fg,12,Hypoxia acclimated,0.554,1.049,0.146,0.212,F,0.11,0.44,17.5,24.5,2.39,0.37,0.169,0.32,0.046,0.067,0.123,0.253,Small,Speed,7.013749778,7.47110344633333,8.4521398895,900,820,1100,1000,660,900,1060,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12fg,12,Hypoxia acclimated,0.554,1.049,0.146,0.212,F,0.11,0.44,17.5,24.5,2.39,0.37,0.169,0.32,0.046,0.067,0.123,0.253,Small,Time,6.91111111,80.18888889,40.4777777766667,900,820,1100,1000,660,900,1060,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12fl,12,Hypoxia acclimated,0.582,1.014,0.169,0.238,F,0.16,0.38,19,24,1.49,0.32,0.174,0.303,0.051,0.072,0.123,0.231,Small,Distance,77.5300257,713.824613033333,268.518751965333,NA,540,NA,120,80,NA,620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12fl,12,Hypoxia acclimated,0.582,1.014,0.169,0.238,F,0.16,0.38,19,24,1.49,0.32,0.174,0.303,0.051,0.072,0.123,0.231,Small,Speed,7.650989379,7.85885577,5.310281974,NA,540,NA,120,80,NA,620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12fl,12,Hypoxia acclimated,0.582,1.014,0.169,0.238,F,0.16,0.38,19,24,1.49,0.32,0.174,0.303,0.051,0.072,0.123,0.231,Small,Time,10.1333333333333,92.3444444333333,31.8333333333333,NA,540,NA,120,80,NA,620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12fp,12,Hypoxia acclimated,0.509,0.81,0.113,0.196,F,0.17,0.43,19.5,25,1.6,0.37,0.155,0.247,0.036,0.062,0.119,0.185,Small,Distance,61.7424182666667,497.868789666667,237.2436588,100,120,1920,100,80,140,540,80,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12fp,12,Hypoxia acclimated,0.509,0.81,0.113,0.196,F,0.17,0.43,19.5,25,1.6,0.37,0.155,0.247,0.036,0.062,0.119,0.185,Small,Speed,7.717802281,8.08223584033333,10.7460253235,100,120,1920,100,80,140,540,80,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12fp,12,Hypoxia acclimated,0.509,0.81,0.113,0.196,F,0.17,0.43,19.5,25,1.6,0.37,0.155,0.247,0.036,0.062,0.119,0.185,Small,Time,8,60.69999999,24.1,100,120,1920,100,80,140,540,80,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12ml,12,Hypoxia acclimated,0.741,1.118,0.072,0.309,M,0.12,0.14,18,18.5,0.27,0.13,0.195,0.295,0.017,0.072,0.178,0.223,Small,Distance,43.4556355,316.592148633333,78.9832245033333,2200,780,100,80,60,100,800,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12ml,12,Hypoxia acclimated,0.741,1.118,0.072,0.309,M,0.12,0.14,18,18.5,0.27,0.13,0.195,0.295,0.017,0.072,0.178,0.223,Small,Speed,6.328490607,6.85071538533333,7.2310079765,2200,780,100,80,60,100,800,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
