Fish_ID,Aquarium,Acclimation,sex,Weight_start,Weight_end,Length_start,Length_end,SGR,Weight_resp,SGR_length,Treatment,MMR_mghg,SMR_mghg,MMR_scaled,SMR_scaled,AS
8fg,8,Hypoxia acclimated,F,0.19,0.7,21,29.5,2.25,0.83,0.59,Normoxia,0.599,0.306,0.205,0.122,0.083
8fl,8,Hypoxia acclimated,F,0.2,0.79,20.5,31,2.37,0.74,0.71,Hypoxia,0.539,0.227,0.181,0.088,0.093
8fl,8,Hypoxia acclimated,F,0.2,0.79,20.5,31,2.37,0.74,0.71,Normoxia,0.807,0.268,0.271,0.103,0.168
8fp,8,Hypoxia acclimated,F,0.2,0.49,22,26,1.54,0.49,0.29,Hypoxia,0.474,0.207,0.15,0.071,0.079
8fp,8,Hypoxia acclimated,F,0.2,0.49,22,26,1.54,0.49,0.29,Normoxia,0.821,0.24,0.26,0.082,0.178
8mb,8,Hypoxia acclimated,M,0.11,0.16,18,18.5,0.65,0.11,0.05,Hypoxia,0.792,0.187,0.204,0.042,0.162
8mb,8,Hypoxia acclimated,M,0.11,0.16,18,18.5,0.65,0.11,0.05,Normoxia,1.261,0.445,0.325,0.099,0.226
8mg,8,Hypoxia acclimated,M,0.11,0.13,16,18,0.29,0.12,0.2,Hypoxia,0.764,0.274,0.199,0.062,0.137
8mg,8,Hypoxia acclimated,M,0.11,0.13,16,18,0.29,0.12,0.2,Normoxia,1.109,0.487,0.289,0.111,0.178
8ml,8,Hypoxia acclimated,M,0.13,0.15,18,19,0.25,0.15,0.09,Hypoxia,0.809,0.104,0.217,0.025,0.192
8ml,8,Hypoxia acclimated,M,0.13,0.15,18,19,0.25,0.15,0.09,Normoxia,0.989,0.414,0.266,0.101,0.165
8mp,8,Hypoxia acclimated,M,0.21,0.31,22.5,25,0.67,0.31,0.18,Hypoxia,0.577,0.157,0.172,0.047,0.125
8mp,8,Hypoxia acclimated,M,0.21,0.31,22.5,25,0.67,0.31,0.18,Normoxia,1.013,0.289,0.301,0.087,0.214
9fb,9,Normoxia acclimated,F,0.17,0.44,20.5,26,1.64,0.34,0.41,Hypoxia,0.534,0.193,0.161,0.059,0.102
