"Fish_ID"	"Acclimation"	"Sex"	"Weight_finished"	"Treatment"	"MeanTimeSpentMoving"	"SDTimeSpentMoving"	"SkewnessTimeSpentMoving"	"KurtosisTimeSpentMoving"
"4mb"	"Not Acclimated"	"M"	0.01	"Normoxia"	130.078892953722	178.227707255509	0.662607244647384	1.5
"4mb"	"Not Acclimated"	"M"	0.01	"Recovery"	93.7389271820556	126.964618978296	0.667837112716412	1.5
"4mg"	"Not Acclimated"	"M"	0.12	"Hypoxia"	208.4242136305	289.273934306653	0.658728522522903	1.5
"4mg"	"Not Acclimated"	"M"	0.12	"Normoxia"	535.100449432778	754.604628955623	0.656035275042223	1.5
"4mg"	"Not Acclimated"	"M"	0.12	"Recovery"	346.427753896278	487.367520167561	0.659198656696497	1.5
"4ml"	"Not Acclimated"	"M"	0.13	"Hypoxia"	118.051890086389	162.269426629468	0.669842602014984	1.5
"4ml"	"Not Acclimated"	"M"	0.13	"Normoxia"	166.863875369278	234.223998677683	0.670595941604011	1.5
"4ml"	"Not Acclimated"	"M"	0.13	"Recovery"	230.120690886222	325.098424336747	0.668022048202986	1.5
"4mp"	"Not Acclimated"	"M"	0.09	"Hypoxia"	181.493408934222	251.904774973643	0.66194113079666	1.5
"4mp"	"Not Acclimated"	"M"	0.09	"Normoxia"	184.830744799778	254.690291538219	0.656290767314811	1.5
"4mp"	"Not Acclimated"	"M"	0.09	"Recovery"	236.473778787333	328.696351343248	0.656990175033176	1.5
"5fb"	"Acclimated"	"F"	0.23	"Hypoxia"	156.192930155444	216.049461001949	0.663343421412933	1.5
"5fb"	"Acclimated"	"F"	0.23	"Normoxia"	282.590280034667	400.951441468572	0.667359976940814	1.5
"5fb"	"Acclimated"	"F"	0.23	"Recovery"	436.199494813222	659.888794762148	0.691758313313832	1.5
"5fg"	"Acclimated"	"F"	0.43	"Hypoxia"	183.404128712889	254.999257829931	0.662873519955893	1.5
"5fg"	"Acclimated"	"F"	0.43	"Normoxia"	152.243892627	212.852790311707	0.67403324831213	1.5
"5fg"	"Acclimated"	"F"	0.43	"Recovery"	181.704965375667	259.040300068629	0.679248856667662	1.5
"5fl"	"Acclimated"	"F"	0.38	"Hypoxia"	87.7632994276111	118.624267453076	0.671945305594088	1.5
"5fl"	"Acclimated"	"F"	0.38	"Normoxia"	79.5324627746667	106.130038975436	0.666406360488346	1.5
"5fl"	"Acclimated"	"F"	0.38	"Recovery"	88.6770221135556	121.132722163478	0.67701125701712	1.5
"5fp"	"Acclimated"	"F"	0.42	"Hypoxia"	85.3491021469444	116.433359476395	0.685248996316185	1.5
"5fp"	"Acclimated"	"F"	0.42	"Normoxia"	301.712687021556	425.139961318936	0.662156860611125	1.5
"5fp"	"Acclimated"	"F"	0.42	"Recovery"	304.358378072111	433.401264381736	0.668186048578833	1.5
"5mb"	"Acclimated"	"M"	0.08	"Hypoxia"	37.8834311079444	47.7928852489995	0.700153421172776	1.5
"5mb"	"Acclimated"	"M"	0.08	"Normoxia"	256.777097517444	360.800809572033	0.662584118175593	1.5
"5mb"	"Acclimated"	"M"	0.08	"Recovery"	409.453496018778	579.563439724036	0.660593624510805	1.5
"5mg"	"Acclimated"	"M"	0.09	"Hypoxia"	127.174271662278	174.368336383804	0.664348139842587	1.5
"5mg"	"Acclimated"	"M"	0.09	"Normoxia"	431.898504598556	611.136053937562	0.659973079424787	1.5
"5mg"	"Acclimated"	"M"	0.09	"Recovery"	279.519158199111	389.569640350617	0.65572318258679	1.5
"5ml"	"Acclimated"	"M"	0.12	"Hypoxia"	166.588805478556	232.467731319969	0.668248137182672	1.5
"5ml"	"Acclimated"	"M"	0.12	"Normoxia"	207.781300952167	293.677668611444	0.670828935271648	1.5
"5ml"	"Acclimated"	"M"	0.12	"Recovery"	429.135216293556	607.788137687263	0.661082583909394	1.5
"5mp"	"Acclimated"	"M"	0.12	"Hypoxia"	118.096349094056	164.255552544526	0.677163501287242	1.5
"5mp"	"Acclimated"	"M"	0.12	"Normoxia"	286.702779624444	428.360172121405	0.69315594477164	1.5
"5mp"	"Acclimated"	"M"	0.12	"Recovery"	275.301539841778	399.074536139946	0.681363785815143	1.5
"6fb"	"Not Acclimated"	"F"	0.34	"Hypoxia"	53.230439017	70.9412685221492	0.695276527490573	1.5
"6fb"	"Not Acclimated"	"F"	0.34	"Normoxia"	116.696851060333	162.757918439201	0.679666300933078	1.5
"6fb"	"Not Acclimated"	"F"	0.34	"Recovery"	81.3171144952222	111.344283970472	0.683963029254218	1.5
"6fg"	"Not Acclimated"	"F"	0.45	"Hypoxia"	60.1986140158889	80.2660916939329	0.686957678983007	1.5
"6fg"	"Not Acclimated"	"F"	0.45	"Normoxia"	199.552501134222	278.725427529303	0.664241260630594	1.5
"6fg"	"Not Acclimated"	"F"	0.45	"Recovery"	118.252596491667	167.827141334443	0.686651600609289	1.5
